Benchmark Problem,Sampling Scheme,Dimensionality [  ],Number of Samples [  ],d-APE (0-perc) [  ],d-APE (5-perc) [  ],d-APE (10-perc) [  ],d-APE (20-perc) [  ],d-APE (25-perc) [  ],d-APE (40-perc) [  ],d-APE (50-perc) [  ],d-APE (60-perc) [  ],d-APE (75-perc) [  ],d-APE (80-perc) [  ],d-APE (90-perc) [  ],d-APE (95-perc) [  ],d-APE (100-perc) [  ],Surrogate Efficiency [  ]
rastrigin,simple random,2,5,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.13195290655358924,0.7444901413780863
rastrigin,simple random,2,5,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.5449380130229992,0.2956678921181227
rastrigin,simple random,2,5,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.18863221732129068,0.6558688323761743
rastrigin,simple random,2,5,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.17766524226431255,0.6721514721041484
rastrigin,simple random,2,5,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.09074772562061356,0.8163451109914497
rastrigin,simple random,2,5,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.011874111720634305,0.9737980662822423
rastrigin,simple random,2,5,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.343076450602857,0.46433812938425006
rastrigin,simple random,2,5,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.9604989194011901,0.1167476073893589
rastrigin,simple random,2,5,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.4406180090165346,0.3733451992086535
rastrigin,simple random,2,5,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.1437860288484256,0.7250495115110733
